script,grapheme,IPA,comment,source,omniglot
Cherokee,Ꭴ,u᷇,NA,"Montgomery-Anderson, 2008: 31-107",http://www.omniglot.com/writing/cherokee.htm
Cherokee,Ꭴ,uʔ,NA,"Montgomery-Anderson, 2008: 31-107",http://www.omniglot.com/writing/cherokee.htm
Cherokee,Ꭴ,úh,NA,"Montgomery-Anderson, 2008: 31-107",http://www.omniglot.com/writing/cherokee.htm
Cherokee,Ꭴ,úʔ,NA,"Montgomery-Anderson, 2008: 31-107",http://www.omniglot.com/writing/cherokee.htm
Cherokee,Ꭴ,uh,NA,"Montgomery-Anderson, 2008: 31-107",http://www.omniglot.com/writing/cherokee.htm
Cherokee,Ꭵ,vvː,NA,"Montgomery-Anderson, 2008: 31-107",http://www.omniglot.com/writing/cherokee.htm
Cherokee,Ꭵ,v́,NA,"Montgomery-Anderson, 2008: 31-107",http://www.omniglot.com/writing/cherokee.htm
Cherokee,Ꭵ,v́ː,NA,"Montgomery-Anderson, 2008: 31-107",http://www.omniglot.com/writing/cherokee.htm
Cherokee,Ꭵ,v̌,NA,"Montgomery-Anderson, 2008: 31-107",http://www.omniglot.com/writing/cherokee.htm
Cherokee,Ꭵ,v̂,NA,"Montgomery-Anderson, 2008: 31-107",http://www.omniglot.com/writing/cherokee.htm
Cherokee,Ꭵ,v᷆,NA,"Montgomery-Anderson, 2008: 31-107",http://www.omniglot.com/writing/cherokee.htm
Cherokee,Ꭵ,v᷇,NA,"Montgomery-Anderson, 2008: 31-107",http://www.omniglot.com/writing/cherokee.htm
Cherokee,Ꭵ,vʔ,NA,"Montgomery-Anderson, 2008: 31-107",http://www.omniglot.com/writing/cherokee.htm
Cherokee,Ꭵ,v́h,NA,"Montgomery-Anderson, 2008: 31-107",http://www.omniglot.com/writing/cherokee.htm
Cherokee,Ꭵ,v́ʔ,NA,"Montgomery-Anderson, 2008: 31-107",http://www.omniglot.com/writing/cherokee.htm
Cherokee,Ꭵ,vh,NA,"Montgomery-Anderson, 2008: 31-107",http://www.omniglot.com/writing/cherokee.htm
Cherokee,Ꭶ,kaaː,NA,"Montgomery-Anderson, 2008: 31-107",http://www.omniglot.com/writing/cherokee.htm
Cherokee,Ꭶ,ká,NA,"Montgomery-Anderson, 2008: 31-107",http://www.omniglot.com/writing/cherokee.htm
Cherokee,Ꭶ,káː,NA,"Montgomery-Anderson, 2008: 31-107",http://www.omniglot.com/writing/cherokee.htm
Cherokee,Ꭶ,kǎ,NA,"Montgomery-Anderson, 2008: 31-107",http://www.omniglot.com/writing/cherokee.htm
Cherokee,Ꭶ,kâ,NA,"Montgomery-Anderson, 2008: 31-107",http://www.omniglot.com/writing/cherokee.htm
